Año de colecta,Mes de colecta,Estacion seca o lluviosa,Semana Epidemiológica ,Precipitación en mm (media de semana epidemiológica),Temperatura en °C (media mensual),Localidad,Número de ovitrampa,Fecha de instalación de ovitrampa,Fecha de colecta de ovitrampa,Ovitrampa instalada  (1=Si/0=No),Ovitrampa recuperada (1=Si/0=No),Técnicos de campo,Huevos No Viables,Huevos rotos,Huevos enteros,Número de huevos colectados (de papel de ovitrampa),Seguimiento de larvas eclosionadas de huevos del papel,Larvas muertas  del seguimiento de larvas eclosionadas de huevos del papel,Total adultos aedes aegypti hembras,Total adultos aedes aegypti machos,Total adultos aedes aegypti,Total adultos aedes albopictus hembras,Total adultos aedes albopictus machos,Total adultos aedes albopictus,Total adultos Culex,"Sumatoria de total adultos Limatus hembras
i_ttl_egs_emg_lmt_f
i_ttl_egs_emg_lmt_drh_f
i_ttl_egs_emg_lmt_flv_f
i_ttl_egs_emg_lmt_sp_f","Sumatoria de total adultos Limatus machos
i_ttl_egs_emg_lmt_m
i_ttl_egs_emg_lmt_drh_m
i_ttl_egs_emg_lmt_flv_m
i_ttl_egs_emg_lmt_sp_m","Sumatoria de total adultos Limatus
i_ttl_egs_emg_lmt
i_ttl_egs_emg_lmt_drh
i_ttl_egs_emg_lmt_flv
Total adultos Limatus sp.","Sumatoria de total adultos Onirion hembras
i_ttl_egs_emg_onr_f
i_ttl_egs_emg_onr_sp_f","Sumatoria de total adultos Onirion machos
i_ttl_egs_emg_onr_m
i_ttl_egs_emg_onr_sp_m","Sumatoria de total adultos Onirion
i_ttl_egs_emg_onr
Total adultos Onirion sp.",Número de larvas colectados (en agua de ovitrampa) Primer conteo,Larvas muertas  del seguimiento de larvas colectadas en agua ovitrampa,Total adultos aedes aegypti hembras,Total adultos aedes aegypti machos,Total adultos aedes aegypti,Total adultos aedes albopictus hembras,Total adultos aedes albopictus machos,Total adultos aedes albopictus,"Sumatoria de total adultos Culex hembras
i_ttl_lrv_emg_clx_f
i_ttl_lrv_emg_clx_sp_f
i_ttl_lrv_emg_clx_sp_cs_f","Sumatoria de total adultos Culex machos
i_ttl_lrv_emg_clx_m
i_ttl_lrv_emg_clx_sp_m
i_ttl_lrv_emg_clx_sp_cs_m","Sumatoria de total adultos Culex
i_ttl_lrv_emg_clx
i_ttl_lrv_emg_clx_sp
i_ttl_lrv_emg_clx_sp_cs","Sumatoria de total adultos Limatus hembras
i_ttl_lrv_emg_lmt_f
i_ttl_lrv_emg_lmt_drh_f
i_ttl_lrv_emg_lmt_flv_f
i_ttl_lrv_emg_lmt_sp_f","Sumatoria de total adultos Limatus machos
i_ttl_lrv_emg_lmt_m
i_ttl_lrv_emg_lmt_drh_m
i_ttl_lrv_emg_lmt_flv_m
i_ttl_lrv_emg_lmt_sp_m","Sumatoria de total adultos Limatus
i_ttl_lrv_emg_lmt
i_ttl_lrv_emg_lmt_drh
i_ttl_lrv_emg_lmt_flv
i_ttl_lrv_emg_lmt_sp","Sumatoria de total adultos Onirion hembras
i_ttl_lrv_emg_onr_f
i_ttl_lrv_emg_onr_sp_f","Sumatoria de total adultos Onirion machos
i_ttl_lrv_emg_onr_m
i_ttl_lrv_emg_onr_sp_m","Sumatoria de total adultos Onirion
i_ttl_lrv_emg_onr
i_ttl_lrv_emg_onr_sp",Total adultos sp. Hembras,Total adultos sp. Machos,Total adultos sp.,"Sumatoria de total adultos Wyeomyia sp. Hembras
i_ttl_lrv_emg_wym_sp_f
i_ttl_lrv_emg_wym_sp_cs_f","Sumatoria de total adultos Wyeomyia sp. Machos
i_ttl_lrv_emg_wym_sp_m
i_ttl_lrv_emg_wym_sp_cs_m","Sumatoria de total adultos Wyeomyia sp.
i_ttl_lrv_emg_wym_sp
i_ttl_lrv_emg_wym_sp_cs",Total adultos Chironomidae hembras,Total adultos Chironomidae machos,Total adultos Chironomidae,Notas
i_yr,i_mnt,i_ssn,i_epi_wk,i_prc,i_tpr,s_ste_nme,i_nmb_trp,d_dte_set,d_dte_clc,b_gnr_trp_rcv,b_gnr_trp_sup,s_agn_fld,i_egs_no_vbl,i_egs_brk,i_egs_int,i_nmb_egs,i_egs_lrv_ecl,i_egs_lrv_ecl_dd,i_ttl_egs_emg_ae_f,i_ttl_egs_emg_ae_m,i_ttl_egs_emg_ae,i_ttl_egs_emg_alb_f,i_ttl_egs_emg_alb_m,i_ttl_egs_emg_alb,i_ttl_egs_emg_clx,i_ttl_Σ_egs_emg_lmt_f,i_ttl_Σ_egs_emg_lmt_m,i_ttl_Σ_egs_emg_lmt,i_ttl_Σ_egs_emg_onr_f,i_ttl_Σ_egs_emg_onr_m,i_ttl_Σ_egs_emg_onr,i_nmb_lrv,i_nmb_lrv_dd,i_ttl_lrv_emg_ae_f,i_ttl_lrv_emg_ae_m,i_ttl_lrv_emg_ae,i_ttl_lrv_emg_alb_f,i_ttl_lrv_emg_alb_m,i_ttl_lrv_emg_alb,i_ttl_Σ_lrv_emg_clx_f,i_ttl_Σ_lrv_emg_clx_m,i_ttl_Σ_lrv_emg_clx,i_ttl_Σ_lrv_emg_lmt_f,i_ttl_Σ_lrv_emg_lmt_m,i_ttl_Σ_lrv_emg_lmt,i_ttl_Σ_lrv_emg_onr_f,i_ttl_Σ_lrv_emg_onr_m,i_ttl_Σ_lrv_emg_onr,i_ttl_lrv_emg_sp_f,i_ttl_lrv_emg_sp_m,i_ttl_lrv_emg_sp,i_ttl_Σ_lrv_emg_wym_sp_f,i_ttl_Σ_lrv_emg_wym_sp_m,i_ttl_Σ_lrv_emg_wym_sp,i_ttl_lrv_emg_chr_f,i_ttl_lrv_emg_chr_m,i_ttl_lrv_emg_chr,s_trp_nte
2018,d_dte_clc,Rainy,21,18.40452282,23.65937805,CACHACO,1,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,18.40452282,23.65937805,CACHACO,2,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,18.40452282,23.65937805,CACHACO,3,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,5,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,limatus larvae
2018,May,Rainy,21,18.40452282,23.65937805,CACHACO,4,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,18.40452282,23.65937805,CACHACO,5,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,18.40452282,23.65937805,CACHACO,6,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,17,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,19,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,limatus larvae
2018,May,Rainy,21,37.62061858,23.64636421,GUADUAL,1,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,limatus larvae
2018,May,Rainy,21,37.62061858,23.64636421,GUADUAL,2,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,37.62061858,23.64636421,GUADUAL,3,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,10,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,10,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,limatus larvae
2018,May,Rainy,21,37.62061858,23.64636421,GUADUAL,4,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,7,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,limatus larvae
2018,May,Rainy,21,25.57643492,23.2752037,LITA,1,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,25.57643492,23.2752037,LITA,2,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,26,1,7,8,0,0,0,NULL,NULL,0,NULL,NULL,26,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,25.57643492,23.2752037,LITA,3,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,15,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,37,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,limatus larvae
2018,May,Rainy,21,25.57643492,23.2752037,LITA,4,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,25.57643492,23.2752037,LITA,5,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,25.57643492,23.2752037,LITA,6,5/16/18,5/23/18,1,1,"NB, FC, CY",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,
2018,May,Rainy,21,25.57643492,23.2752037,LITA,7,5/16/18,5/23/18,1,0,"NB, FC, CY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ovitrampa no recuperada
